Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
0	-153	-1.0	153	153	0	-153	-1.0	153	153
1	-3478	-3.1560798548094375	1102	1255	1	-3478	-3.1560798548094375	1102	1255
2	-375	-1.358695652173913	276	1531	2	-375	-1.358695652173913	276	1531
3	-577	-1.5224274406332454	379	1910	3	-577	-1.5224274406332454	379	1910
4	-508	-2.4075829383886256	211	2121	4	-508	-2.4075829383886256	211	2121
5	-238	-1.7122302158273381	139	2260	5	-238	-1.7122302158273381	139	2260
6	-122	-1.0	122	2382	6	-122	-1.0	122	2382
7	-163	-1.0	163	2545	7	-163	-1.0	163	2545
8	-317	-1.4541284403669725	218	2763	8	-317	-1.4541284403669725	218	2763
9	-199	-1.0	199	2962	9	-199	-1.0	199	2962
10	-808	-2.5814696485623	313	3275	10	-808	-2.5814696485623	313	3275
11	-295	-1.0	295	3570	11	-295	-1.0	295	3570
12	-210	-1.8918918918918919	111	3681	12	-210	-1.8918918918918919	111	3681
13	-133	-1.0	133	3814	13	-133	-1.0	133	3814
14	-122	-1.0	122	3936	14	-122	-1.0	122	3936
15	-177	-1.0	177	4113	15	-177	-1.0	177	4113
16	-138	-1.0	138	4251	16	-138	-1.0	138	4251
17	-369	-2.1578947368421053	171	4422	17	-369	-2.1578947368421053	171	4422
18	-165	-1.0	165	4587	18	-165	-1.0	165	4587
19	-48	-1.0	48	4635	19	-48	-1.0	48	4635
20	-427	-1.8646288209606987	229	4864	20	-427	-1.8646288209606987	229	4864
21	-111	-1.0	111	4975	21	-111	-1.0	111	4975
22	-309	-1.4714285714285715	210	5185	22	-309	-1.4714285714285715	210	5185
23	-130	-1.0	130	5315	23	-130	-1.0	130	5315
24	-79	-1.0	79	5394	24	-79	-1.0	79	5394
25	-103	-1.0	103	5497	25	-103	-1.0	103	5497
26	-87	-1.0	87	5584	26	-87	-1.0	87	5584
27	-126	-1.0	126	5710	27	-126	-1.0	126	5710
28	-134	-1.0	134	5844	28	-134	-1.0	134	5844
29	-169	-2.414285714285714	70	5914	29	-169	-2.414285714285714	70	5914
30	-370	-2.1511627906976742	172	6086	30	-370	-2.1511627906976742	172	6086
31	-84	-1.0	84	6170	31	-84	-1.0	84	6170
32	-241	-1.6971830985915493	142	6312	32	-241	-1.6971830985915493	142	6312
33	-52	-1.0	52	6364	33	-52	-1.0	52	6364
34	-372	-2.1379310344827585	174	6538	34	-372	-2.1379310344827585	174	6538
35	-219	-1.825	120	6658	35	-219	-1.825	120	6658
36	-230	-1.7557251908396947	131	6789	36	-230	-1.7557251908396947	131	6789
37	-73	-1.0	73	6862	37	-73	-1.0	73	6862
38	-125	-1.0	125	6987	38	-125	-1.0	125	6987
39	-214	-1.8608695652173912	115	7102	39	-214	-1.8608695652173912	115	7102
40	-70	-1.0	70	7172	40	-70	-1.0	70	7172
41	-94	-1.0	94	7266	41	-94	-1.0	94	7266
42	-53	-1.0	53	7319	42	-53	-1.0	53	7319
43	-74	-1.0	74	7393	43	-74	-1.0	74	7393
44	-100	-1.0	100	7493	44	-100	-1.0	100	7493
45	-31	-1.0	31	7524	45	-31	-1.0	31	7524
46	-113	-1.0	113	7637	46	-113	-1.0	113	7637
47	-352	-2.2857142857142856	154	7791	47	-352	-2.2857142857142856	154	7791
48	-64	-1.0	64	7855	48	-64	-1.0	64	7855
49	-166	-2.4776119402985075	67	7922	49	-166	-2.4776119402985075	67	7922
50	-88	-1.0	88	8010	50	-88	-1.0	88	8010
51	-213	-1.868421052631579	114	8124	51	-213	-1.868421052631579	114	8124
52	-58	-1.0	58	8182	52	-58	-1.0	58	8182
53	-268	-3.8285714285714287	70	8252	53	-268	-3.8285714285714287	70	8252
54	-207	-1.9166666666666667	108	8360	54	-207	-1.9166666666666667	108	8360
55	-110	-1.0	110	8470	55	-110	-1.0	110	8470
56	-55	-1.0	55	8525	56	-55	-1.0	55	8525
57	-75	-1.0	75	8600	57	-75	-1.0	75	8600
58	-45	-1.0	45	8645	58	-45	-1.0	45	8645
59	-62	-1.0	62	8707	59	-62	-1.0	62	8707
60	-55	-1.0	55	8762	60	-55	-1.0	55	8762
61	-203	-1.9519230769230769	104	8866	61	-203	-1.9519230769230769	104	8866
62	-65	-1.0	65	8931	62	-65	-1.0	65	8931
63	-78	-1.0	78	9009	63	-78	-1.0	78	9009
64	-202	-1.9611650485436893	103	9112	64	-202	-1.9611650485436893	103	9112
65	-213	-1.868421052631579	114	9226	65	-213	-1.868421052631579	114	9226
66	-65	-1.0	65	9291	66	-65	-1.0	65	9291
67	-243	-1.6875	144	9435	67	-243	-1.6875	144	9435
68	-49	-1.0	49	9484	68	-49	-1.0	49	9484
69	-121	-1.0	121	9605	69	-121	-1.0	121	9605
70	-180	-2.2222222222222223	81	9686	70	-180	-2.2222222222222223	81	9686
71	-103	-1.0	103	9789	71	-103	-1.0	103	9789
72	-66	-1.0	66	9855	72	-66	-1.0	66	9855
73	-34	-1.0	34	9889	73	-34	-1.0	34	9889
74	-177	-2.269230769230769	78	9967	74	-177	-2.269230769230769	78	9967
75	-89	-1.0	89	10056	75	-89	-1.0	89	10056
76	-87	-1.0	87	10143	76	-87	-1.0	87	10143
77	-65	-1.0	65	10208	77	-65	-1.0	65	10208
78	-47	-1.0	47	10255	78	-47	-1.0	47	10255
79	-79	-1.0	79	10334	79	-79	-1.0	79	10334
80	-42	-1.0	42	10376	80	-42	-1.0	42	10376
81	-62	-1.0	62	10438	81	-62	-1.0	62	10438
82	-41	-1.0	41	10479	82	-41	-1.0	41	10479
83	-65	-1.0	65	10544	83	-65	-1.0	65	10544
84	-87	-1.0	87	10631	84	-87	-1.0	87	10631
85	-41	-1.0	41	10672	85	-41	-1.0	41	10672
86	-45	-1.0	45	10717	86	-45	-1.0	45	10717
87	-56	-1.0	56	10773	87	-56	-1.0	56	10773
88	-38	-1.0	38	10811	88	-38	-1.0	38	10811
89	-81	-1.0	81	10892	89	-81	-1.0	81	10892
90	-34	-1.0	34	10926	90	-34	-1.0	34	10926
91	-42	-1.0	42	10968	91	-42	-1.0	42	10968
92	-47	-1.0	47	11015	92	-47	-1.0	47	11015
93	-40	-1.0	40	11055	93	-40	-1.0	40	11055
94	-61	-1.0	61	11116	94	-61	-1.0	61	11116
95	-29	-1.0	29	11145	95	-29	-1.0	29	11145
96	-45	-1.0	45	11190	96	-45	-1.0	45	11190
97	-35	-1.0	35	11225	97	-35	-1.0	35	11225
98	-47	-1.0	47	11272	98	-47	-1.0	47	11272
99	-58	-1.0	58	11330	99	-58	-1.0	58	11330
100	-83	-1.0	83	11413	100	-83	-1.0	83	11413
101	-139	-3.475	40	11453	101	-139	-3.475	40	11453
102	-182	-2.1927710843373496	83	11536	102	-182	-2.1927710843373496	83	11536
103	-46	-1.0	46	11582	103	-46	-1.0	46	11582
104	-49	-1.0	49	11631	104	-49	-1.0	49	11631
105	-174	-2.32	75	11706	105	-174	-2.32	75	11706
106	-44	-1.0	44	11750	106	-44	-1.0	44	11750
107	-545	-3.6577181208053693	149	11899	107	-545	-3.6577181208053693	149	11899
108	-49	-1.0	49	11948	108	-49	-1.0	49	11948
109	-45	-1.0	45	11993	109	-45	-1.0	45	11993
110	-45	-1.0	45	12038	110	-45	-1.0	45	12038
111	-79	-1.0	79	12117	111	-79	-1.0	79	12117
112	-57	-1.0	57	12174	112	-57	-1.0	57	12174
113	-36	-1.0	36	12210	113	-36	-1.0	36	12210
114	-63	-1.0	63	12273	114	-63	-1.0	63	12273
115	-45	-1.0	45	12318	115	-45	-1.0	45	12318
116	-57	-1.0	57	12375	116	-57	-1.0	57	12375
117	-333	-2.466666666666667	135	12510	117	-333	-2.466666666666667	135	12510
118	-189	-2.1	90	12600	118	-189	-2.1	90	12600
119	-43	-1.0	43	12643	119	-43	-1.0	43	12643
120	-37	-1.0	37	12680	120	-37	-1.0	37	12680
121	-49	-1.0	49	12729	121	-49	-1.0	49	12729
122	-65	-1.0	65	12794	122	-65	-1.0	65	12794
123	-90	-1.0	90	12884	123	-90	-1.0	90	12884
124	-65	-1.0	65	12949	124	-65	-1.0	65	12949
125	-35	-1.0	35	12984	125	-35	-1.0	35	12984
126	-203	-1.9519230769230769	104	13088	126	-203	-1.9519230769230769	104	13088
127	-39	-1.0	39	13127	127	-39	-1.0	39	13127
128	-166	-2.4776119402985075	67	13194	128	-166	-2.4776119402985075	67	13194
129	-71	-1.0	71	13265	129	-71	-1.0	71	13265
130	-33	-1.0	33	13298	130	-33	-1.0	33	13298
131	-66	-1.0	66	13364	131	-66	-1.0	66	13364
132	-39	-1.0	39	13403	132	-39	-1.0	39	13403
133	-36	-1.0	36	13439	133	-36	-1.0	36	13439
134	-70	-1.0	70	13509	134	-70	-1.0	70	13509
135	-167	-2.4558823529411766	68	13577	135	-167	-2.4558823529411766	68	13577
136	-64	-1.0	64	13641	136	-64	-1.0	64	13641
137	-71	-1.0	71	13712	137	-71	-1.0	71	13712
138	-55	-1.0	55	13767	138	-55	-1.0	55	13767
139	-25	-1.0	25	13792	139	-25	-1.0	25	13792
140	-175	-2.3026315789473686	76	13868	140	-175	-2.3026315789473686	76	13868
141	-146	-3.106382978723404	47	13915	141	-146	-3.106382978723404	47	13915
142	-183	-2.1785714285714284	84	13999	142	-183	-2.1785714285714284	84	13999
143	-296	-3.020408163265306	98	14097	143	-296	-3.020408163265306	98	14097
144	-50	-1.0	50	14147	144	-50	-1.0	50	14147
145	-45	-1.0	45	14192	145	-45	-1.0	45	14192
146	-34	-1.0	34	14226	146	-34	-1.0	34	14226
147	-144	-3.2	45	14271	147	-144	-3.2	45	14271
148	-27	-1.0	27	14298	148	-27	-1.0	27	14298
149	-41	-1.0	41	14339	149	-41	-1.0	41	14339
150	-72	-1.0	72	14411	150	-72	-1.0	72	14411
151	-31	-1.0	31	14442	151	-31	-1.0	31	14442
152	-34	-1.0	34	14476	152	-34	-1.0	34	14476
153	-52	-1.0	52	14528	153	-52	-1.0	52	14528
154	-31	-1.0	31	14559	154	-31	-1.0	31	14559
155	-38	-1.0	38	14597	155	-38	-1.0	38	14597
156	-57	-1.0	57	14654	156	-57	-1.0	57	14654
157	-45	-1.0	45	14699	157	-45	-1.0	45	14699
158	-47	-1.0	47	14746	158	-47	-1.0	47	14746
159	-32	-1.0	32	14778	159	-32	-1.0	32	14778
160	-35	-1.0	35	14813	160	-35	-1.0	35	14813
161	-27	-1.0	27	14840	161	-27	-1.0	27	14840
162	-35	-1.0	35	14875	162	-35	-1.0	35	14875
163	-49	-1.0	49	14924	163	-49	-1.0	49	14924
164	-155	-2.767857142857143	56	14980	164	-155	-2.767857142857143	56	14980
165	-37	-1.0	37	15017	165	-37	-1.0	37	15017
166	-50	-1.0	50	15067	166	-50	-1.0	50	15067
167	-48	-1.0	48	15115	167	-48	-1.0	48	15115
