Episode	Accumulated Reward	Average Reward	Length	Steps
0	-83	-1.0	83	83
1	-2736	-2.026666666666667	1350	1433
2	-832	-2.4688427299703264	337	1770
3	-750	-1.358695652173913	552	2322
4	-107	-1.0	107	2429
5	-77	-1.0	77	2506
6	-932	-2.757396449704142	338	2844
7	-72	-1.0	72	2916
8	-45	-1.0	45	2961
9	-53	-1.0	53	3014
10	-47	-1.0	47	3061
11	-206	-1.925233644859813	107	3168
12	-54	-1.0	54	3222
13	-447	-1.7951807228915662	249	3471
14	-54	-1.0	54	3525
15	-27	-1.0	27	3552
16	-30	-1.0	30	3582
17	-24	-1.0	24	3606
18	-26	-1.0	26	3632
19	-24	-1.0	24	3656
20	-21	-1.0	21	3677
21	-30	-1.0	30	3707
22	-22	-1.0	22	3729
23	-20	-1.0	20	3749
24	-21	-1.0	21	3770
25	-32	-1.0	32	3802
26	-36	-1.0	36	3838
27	-20	-1.0	20	3858
28	-23	-1.0	23	3881
29	-24	-1.0	24	3905
30	-22	-1.0	22	3927
31	-23	-1.0	23	3950
32	-151	-2.9038461538461537	52	4002
33	-27	-1.0	27	4029
34	-26	-1.0	26	4055
35	-30	-1.0	30	4085
36	-24	-1.0	24	4109
37	-24	-1.0	24	4133
38	-25	-1.0	25	4158
39	-28	-1.0	28	4186
40	-18	-1.0	18	4204
41	-18	-1.0	18	4222
42	-20	-1.0	20	4242
43	-19	-1.0	19	4261
44	-21	-1.0	21	4282
45	-20	-1.0	20	4302
46	-221	-9.608695652173912	23	4325
47	-19	-1.0	19	4344
48	-18	-1.0	18	4362
49	-19	-1.0	19	4381
50	-24	-1.0	24	4405
51	-22	-1.0	22	4427
52	-25	-1.0	25	4452
53	-26	-1.0	26	4478
54	-18	-1.0	18	4496
55	-18	-1.0	18	4514
56	-24	-1.0	24	4538
57	-18	-1.0	18	4556
58	-19	-1.0	19	4575
59	-18	-1.0	18	4593
60	-20	-1.0	20	4613
61	-23	-1.0	23	4636
62	-21	-1.0	21	4657
63	-23	-1.0	23	4680
64	-18	-1.0	18	4698
65	-19	-1.0	19	4717
66	-21	-1.0	21	4738
67	-27	-1.0	27	4765
68	-18	-1.0	18	4783
69	-18	-1.0	18	4801
70	-21	-1.0	21	4822
71	-20	-1.0	20	4842
72	-22	-1.0	22	4864
73	-18	-1.0	18	4882
74	-27	-1.0	27	4909
75	-22	-1.0	22	4931
76	-30	-1.0	30	4961
77	-25	-1.0	25	4986
78	-18	-1.0	18	5004
79	-19	-1.0	19	5023
80	-19	-1.0	19	5042
81	-18	-1.0	18	5060
82	-20	-1.0	20	5080
83	-20	-1.0	20	5100
84	-21	-1.0	21	5121
85	-18	-1.0	18	5139
86	-18	-1.0	18	5157
87	-19	-1.0	19	5176
88	-36	-1.0	36	5212
89	-118	-6.2105263157894735	19	5231
90	-19	-1.0	19	5250
91	-19	-1.0	19	5269
92	-18	-1.0	18	5287
93	-19	-1.0	19	5306
94	-18	-1.0	18	5324
95	-21	-1.0	21	5345
96	-18	-1.0	18	5363
97	-26	-1.0	26	5389
98	-18	-1.0	18	5407
99	-19	-1.0	19	5426
100	-22	-1.0	22	5448
101	-19	-1.0	19	5467
102	-19	-1.0	19	5486
103	-19	-1.0	19	5505
104	-21	-1.0	21	5526
105	-18	-1.0	18	5544
106	-25	-1.0	25	5569
107	-19	-1.0	19	5588
108	-18	-1.0	18	5606
109	-19	-1.0	19	5625
110	-18	-1.0	18	5643
111	-18	-1.0	18	5661
112	-18	-1.0	18	5679
