Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1869	-3.211340206185567	582	582
1	-41	-1.0	41	623
2	-272	-1.5722543352601157	173	796
3	-46	-1.0	46	842
4	-49	-1.0	49	891
5	-99	-1.0	99	990
6	-44	-1.0	44	1034
7	-413	-3.560344827586207	116	1150
8	-59	-1.0	59	1209
9	-203	-1.9519230769230769	104	1313
10	-23	-1.0	23	1336
11	-45	-1.0	45	1381
12	-180	-2.2222222222222223	81	1462
13	-53	-1.0	53	1515
14	-158	-2.6779661016949152	59	1574
15	-134	-3.8285714285714287	35	1609
16	-34	-1.0	34	1643
17	-39	-1.0	39	1682
18	-27	-1.0	27	1709
19	-36	-1.0	36	1745
20	-33	-1.0	33	1778
21	-44	-1.0	44	1822
22	-260	-4.193548387096774	62	1884
23	-49	-1.0	49	1933
24	-15	-1.0	15	1948
25	-22	-1.0	22	1970
26	-140	-3.4146341463414633	41	2011
27	-156	-2.736842105263158	57	2068
28	-26	-1.0	26	2094
29	-23	-1.0	23	2117
30	-225	-8.333333333333334	27	2144
31	-37	-1.0	37	2181
32	-21	-1.0	21	2202
33	-39	-1.0	39	2241
34	-18	-1.0	18	2259
35	-129	-4.3	30	2289
36	-19	-1.0	19	2308
37	-135	-3.75	36	2344
38	-15	-1.0	15	2359
39	-29	-1.0	29	2388
40	-15	-1.0	15	2403
41	-28	-1.0	28	2431
42	-21	-1.0	21	2452
43	-17	-1.0	17	2469
44	-33	-1.0	33	2502
45	-324	-12.0	27	2529
46	-15	-1.0	15	2544
47	-456	-7.6	60	2604
48	-20	-1.0	20	2624
49	-13	-1.0	13	2637
50	-15	-1.0	15	2652
51	-128	-4.413793103448276	29	2681
52	-17	-1.0	17	2698
53	-13	-1.0	13	2711
54	-15	-1.0	15	2726
55	-22	-1.0	22	2748
56	-18	-1.0	18	2766
57	-13	-1.0	13	2779
58	-13	-1.0	13	2792
59	-13	-1.0	13	2805
60	-13	-1.0	13	2818
61	-13	-1.0	13	2831
62	-15	-1.0	15	2846
63	-119	-5.95	20	2866
64	-115	-7.1875	16	2882
65	-17	-1.0	17	2899
66	-15	-1.0	15	2914
67	-17	-1.0	17	2931
68	-15	-1.0	15	2946
69	-14	-1.0	14	2960
70	-14	-1.0	14	2974
71	-17	-1.0	17	2991
72	-117	-6.5	18	3009
73	-121	-5.5	22	3031
74	-119	-5.95	20	3051
75	-116	-6.823529411764706	17	3068
76	-15	-1.0	15	3083
77	-123	-5.125	24	3107
78	-17	-1.0	17	3124
79	-17	-1.0	17	3141
80	-13	-1.0	13	3154
81	-14	-1.0	14	3168
82	-13	-1.0	13	3181
83	-13	-1.0	13	3194
84	-15	-1.0	15	3209
85	-13	-1.0	13	3222
86	-13	-1.0	13	3235
87	-15	-1.0	15	3250
88	-13	-1.0	13	3263
89	-13	-1.0	13	3276
90	-15	-1.0	15	3291
91	-13	-1.0	13	3304
92	-16	-1.0	16	3320
93	-122	-5.304347826086956	23	3343
94	-15	-1.0	15	3358
95	-28	-1.0	28	3386
96	-13	-1.0	13	3399
97	-13	-1.0	13	3412
98	-13	-1.0	13	3425
99	-15	-1.0	15	3440
100	-13	-1.0	13	3453
101	-13	-1.0	13	3466
102	-13	-1.0	13	3479
103	-17	-1.0	17	3496
104	-13	-1.0	13	3509
105	-15	-1.0	15	3524
106	-14	-1.0	14	3538
107	-13	-1.0	13	3551
108	-17	-1.0	17	3568
109	-18	-1.0	18	3586
110	-15	-1.0	15	3601
111	-17	-1.0	17	3618
112	-220	-10.0	22	3640
113	-17	-1.0	17	3657
114	-120	-5.714285714285714	21	3678
115	-13	-1.0	13	3691
116	-13	-1.0	13	3704
117	-119	-5.95	20	3724
118	-13	-1.0	13	3737
119	-15	-1.0	15	3752
120	-13	-1.0	13	3765
121	-14	-1.0	14	3779
122	-15	-1.0	15	3794
123	-19	-1.0	19	3813
124	-15	-1.0	15	3828
125	-15	-1.0	15	3843
126	-15	-1.0	15	3858
127	-15	-1.0	15	3873
128	-17	-1.0	17	3890
129	-13	-1.0	13	3903
130	-13	-1.0	13	3916
131	-13	-1.0	13	3929
132	-123	-5.125	24	3953
133	-15	-1.0	15	3968
134	-15	-1.0	15	3983
135	-13	-1.0	13	3996
136	-119	-5.95	20	4016
137	-13	-1.0	13	4029
138	-13	-1.0	13	4042
139	-17	-1.0	17	4059
140	-13	-1.0	13	4072
141	-13	-1.0	13	4085
142	-13	-1.0	13	4098
143	-19	-1.0	19	4117
144	-13	-1.0	13	4130
145	-15	-1.0	15	4145
146	-15	-1.0	15	4160
147	-123	-5.125	24	4184
148	-17	-1.0	17	4201
149	-13	-1.0	13	4214
150	-15	-1.0	15	4229
151	-13	-1.0	13	4242
152	-15	-1.0	15	4257
153	-116	-6.823529411764706	17	4274
154	-121	-5.5	22	4296
155	-13	-1.0	13	4309
156	-120	-5.714285714285714	21	4330
157	-13	-1.0	13	4343
158	-14	-1.0	14	4357
159	-15	-1.0	15	4372
160	-13	-1.0	13	4385
161	-13	-1.0	13	4398
162	-24	-1.0	24	4422
163	-13	-1.0	13	4435
164	-13	-1.0	13	4448
165	-125	-4.8076923076923075	26	4474
166	-13	-1.0	13	4487
167	-15	-1.0	15	4502
168	-120	-5.714285714285714	21	4523
169	-17	-1.0	17	4540
170	-21	-1.0	21	4561
171	-13	-1.0	13	4574
172	-223	-8.92	25	4599
173	-15	-1.0	15	4614
174	-222	-9.25	24	4638
175	-17	-1.0	17	4655
176	-113	-8.071428571428571	14	4669
177	-14	-1.0	14	4683
178	-15	-1.0	15	4698
179	-13	-1.0	13	4711
180	-15	-1.0	15	4726
181	-13	-1.0	13	4739
182	-17	-1.0	17	4756
183	-13	-1.0	13	4769
184	-13	-1.0	13	4782
185	-329	-10.28125	32	4814
186	-19	-1.0	19	4833
187	-120	-5.714285714285714	21	4854
188	-25	-1.0	25	4879
189	-13	-1.0	13	4892
190	-13	-1.0	13	4905
191	-17	-1.0	17	4922
192	-13	-1.0	13	4935
193	-123	-5.125	24	4959
